ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors,Hourly,Employer_provided,Lower_Salary,Upper_Salary,Avg_SalaryK,company_txt,Job_Location,Age,Python,spark,aws,excel,sql_,sas,keras,pytorch,scikit,tensor,hadoop,tableau,bi,flink,mongo,google_an,job_title_sim,seniority_by_title,Degree,Avg_Salary
0,Data Scientist,3.8,"Tecolote Research
3.8","Albuquerque, NM","Goleta, CA",501 - 1000,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),"Novartis, Baxter, Pfizer",0,0,53000,91000,72,Tecolote Research,NM,48,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,data scientist,sr,M,72000
1,Healthcare Data Scientist,3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),"Novartis, Baxter, Pfizer",0,0,63000,112000,87.5,University of Maryland Medical System,MD,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,87500
2,Data Scientist,4.8,"KnowBe4
4.8","Clearwater, FL","Clearwater, FL",501 - 1000,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,80000,90000,85,KnowBe4,FL,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,85000
3,Data Scientist,3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 - 5000,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,56000,97000,76.5,PNNL,WA,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,76500
4,Data Scientist,2.9,"Affinity Solutions
2.9","New York, NY","New York, NY",51 - 200,1998,Company - Private,Advertising & Marketing,Business Services,$10+ billion (USD),"Commerce Signals, Cardlytics, Yodlee",0,0,86000,143000,114.5,Affinity Solutions,NY,23,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,114500
5,Data Scientist,3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 - 500,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,71000,119000,95,CyrusOne,TX,21,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,data scientist,sr,M,95000
6,Data Scientist,4.1,"ClearOne Advantage
4.1","Baltimore, MD","Baltimore, MD",501 - 1000,2008,Company - Private,Banks & Credit Unions,Finance,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,54000,93000,73.5,ClearOne Advantage,MD,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,73500
7,Data Scientist,3.8,"Logic20/20
3.8","San Jose, CA","Seattle, WA",201 - 500,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Novartis, Baxter, Pfizer",0,0,86000,142000,114,Logic20/20,CA,16,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,data scientist,sr,M,114000
8,Research Scientist,3.3,"Rochester Regional Health
3.3","Rochester, NY","Rochester, NY",10000+,2014,Hospital,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",0,0,38000,84000,61,Rochester Regional Health,NY,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,61000
9,Data Scientist,4.6,"GreatAmerica Financial Services
4.6","New York, NY","New York, NY",51 - 200,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",0,0,120000,160000,140,GreatAmerica Financial Services,NY,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,140000
10,Data Scientist,3.5,"Wish
3.5","San Jose, CA","San Francisco, CA",501 - 1000,2011,Company - Private,Other Retail Stores,Retail,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",0,0,126000,201000,163.5,Wish,CA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,163500
11,Data Scientist,4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 - 10000,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),"Novartis, Baxter, Pfizer",0,0,64000,106000,85,ManTech,VA,53,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,85000
12,Staff Data Scientist - Technology,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR",10000+,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,106000,172000,139,Walmart,TX,59,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,139000
13,Data Analyst,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA",201 - 500,2012,Company - Private,Advertising & Marketing,Business Services,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,46000,85000,65.5,Yesler,WA,9,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,analyst,sr,M,65500
14,Data Scientist,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan",10000+,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,83000,144000,113.5,Takeda Pharmaceuticals,MA,240,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,data scientist,sr,M,113500
15,Data Engineer I,3.6,"Audible
3.6","Newark, NJ","Newark, NJ",1001 - 5000,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,102000,190000,146,Audible,NJ,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data engineer,sr,M,146000
16,"Scientist I/II, Biology",3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA",51 - 200,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,67000,137000,102,Blueprint Medicines,MA,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,other scientist,sr,P,102000
17,Customer Data Scientist,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA",201 - 500,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,118000,189000,153.5,h2o.ai,CA,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,data scientist,sr,M,153500
18,Data Scientist - Health Data Analytics,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA",51 - 200,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,110000,175000,142.5,Nuna,CA,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,142500
19,Data Scientist,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO",501 - 1000,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),"Novartis, Baxter, Pfizer",0,0,64000,111000,87.5,Pinnacol Assurance,CO,106,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,data scientist,sr,M,87500
20,Data Scientist,3.2,"Porch
3.2","Seattle, WA","Seattle, WA",201 - 500,2012,Company - Private,Internet,Information Technology,$10+ billion (USD),"Angie's List, HomeAdvisor, Thumbtack",0,0,81000,130000,105.5,Porch,WA,9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,105500
21,Senior Data Scientist / Machine Learning,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA",201 - 500,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,73000,119000,96,Health IQ,TX,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,P,96000
22,Data Scientist - Quantitative,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID",501 - 1000,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,86000,139000,112.5,Truckstop.com,IL,26,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,data scientist,sr,M,112500
23,Data Scientist,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA",51 - 200,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),"Novartis, Baxter, Pfizer",0,0,63000,105000,84,SMC 3,KY,86,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,data scientist,sr,M,84000
25,Data Scientist,4,"Novetta
4.0","Herndon, VA","Mc Lean, VA",501 - 1000,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,109000,177000,143,Novetta,VA,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,data scientist,sr,M,143000
26,Digital Health Data Scientist,4,"Pfizer
4.0","Cambridge, MA","New York, NY",10000+,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",0,0,63000,110000,86.5,Pfizer,MA,172,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,sr,M,86500
27,Data Scientist,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA",1001 - 5000,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),"Novartis, Baxter, Pfizer",0,0,75000,124000,99.5,First Tech Federal Credit Union,OR,69,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,data scientist,sr,M,99500
28,Associate Data Analyst,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA",5001 - 10000,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),"Novartis, Baxter, Pfizer",0,0,34000,61000,47.5,The Hanover Insurance Group,MA,169,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,analyst,sr,M,47500
